File	Time	Result	Ackermann	Solver
/3/foobar.txt.15	0m1,050s	unsat	Yes	Z3
/3/foobar.txt.15	0m1,014s	unsat	No	Z3
/3/foobar.txt.15	0m5,564s	unsat	Yes	cvc5
/3/foobar.txt.15	0m5,554s	unsat	No	cvc5
/3/foobar.txt.15	0m7,706s	unsat	Yes	mathSAT
/3/foobar.txt.15	0m7,690s	unsat	No	mathSAT

/3/foobar.txt.16	0m8,950s	unsat	Yes	Z3
/3/foobar.txt.16	0m8,883s	unsat	No	Z3
/3/foobar.txt.16	0m33,340s	unsat	Yes	cvc5
/3/foobar.txt.16	0m33,419s	unsat	No	cvc5
/3/foobar.txt.16	0m7,331s	unsat	Yes	mathSAT
/3/foobar.txt.16	0m7,287s	unsat	No	mathSAT

/3/foobar.txt.17	1m50,111s	unsat	Yes	Z3
/3/foobar.txt.17	1m49,780s	unsat	No	Z3
/3/foobar.txt.17	1m26,512s	unsat	Yes	cvc5
/3/foobar.txt.17	1m26,240s	unsat	No	cvc5
/3/foobar.txt.17	0m35,302s	unsat	Yes	mathSAT
/3/foobar.txt.17	0m35,540s	unsat	No	mathSAT

/3/foobar.txt.2	0m0,193s	unsat	Yes	Z3
/3/foobar.txt.2	0m0,018s	unsat	No	Z3
/3/foobar.txt.2	0m0,013s	unsat	Yes	cvc5
/3/foobar.txt.2	0m0,012s	unsat	No	cvc5
/3/foobar.txt.2	0m0,007s	unsat	Yes	mathSAT
/3/foobar.txt.2	0m0,008s	unsat	No	mathSAT

/3/foobar.txt.3	0m0,041s	unsat	Yes	Z3
/3/foobar.txt.3	0m0,023s	unsat	No	Z3
/3/foobar.txt.3	0m0,021s	unsat	Yes	cvc5
/3/foobar.txt.3	0m0,019s	unsat	No	cvc5
/3/foobar.txt.3	0m0,009s	unsat	Yes	mathSAT
/3/foobar.txt.3	0m0,009s	unsat	No	mathSAT

/3/foobar.txt.4	0m0,035s	unsat	Yes	Z3
/3/foobar.txt.4	0m0,022s	unsat	No	Z3
/3/foobar.txt.4	0m0,023s	unsat	Yes	cvc5
/3/foobar.txt.4	0m0,023s	unsat	No	cvc5
/3/foobar.txt.4	0m0,014s	unsat	Yes	mathSAT
/3/foobar.txt.4	0m0,014s	unsat	No	mathSAT

/3/foobar.txt.5	0m0,053s	unsat	Yes	Z3
/3/foobar.txt.5	0m0,024s	unsat	No	Z3
/3/foobar.txt.5	0m0,036s	unsat	Yes	cvc5
/3/foobar.txt.5	0m0,035s	unsat	No	cvc5
/3/foobar.txt.5	0m0,015s	unsat	Yes	mathSAT
/3/foobar.txt.5	0m0,015s	unsat	No	mathSAT

/3/foobar.txt.6	0m0,050s	unsat	Yes	Z3
/3/foobar.txt.6	0m0,029s	unsat	No	Z3
/3/foobar.txt.6	0m0,047s	unsat	Yes	cvc5
/3/foobar.txt.6	0m0,047s	unsat	No	cvc5
/3/foobar.txt.6	0m0,026s	unsat	Yes	mathSAT
/3/foobar.txt.6	0m0,029s	unsat	No	mathSAT

/3/foobar.txt.7	0m0,058s	unsat	Yes	Z3
/3/foobar.txt.7	0m0,031s	unsat	No	Z3
/3/foobar.txt.7	0m0,075s	unsat	Yes	cvc5
/3/foobar.txt.7	0m0,072s	unsat	No	cvc5
