File	Result	Solver	Time	Ackermann
/D4/foobar.txt.8	0m6,164s	cvc5	unsat	No
/D4/foobar.txt.8	0m1,864s	mathSAT	unsat	Yes
/D4/foobar.txt.8	0m1,869s	mathSAT	unsat	No

/D4/foobar.txt.9	0m1,866s	Z3	unsat	Yes
/D4/foobar.txt.9	0m1,927s	Z3	unsat	No
/D4/foobar.txt.9	0m7,041s	cvc5	unsat	Yes
/D4/foobar.txt.9	0m6,977s	cvc5	unsat	No
/D4/foobar.txt.9	0m2,749s	mathSAT	unsat	Yes
/D4/foobar.txt.9	0m2,796s	mathSAT	unsat	No

